HistoricalCode,BfsCode,ValidFrom,ValidTo,Level,Parent,Name,ShortName,Inscription,Radiation,Rec_Type_fr,Rec_Type_de
16658,3901,01.01.2025,,3,10314,Chur,Chur,3989,,,
16659,1065,01.01.2025,,3,10299,Root,Root,3990,,,
16660,2097,01.01.2025,,3,10106,Rue,Rue,3991,,,
16661,2102,01.01.2025,,3,10106,Ursy,Ursy,3992,,,
16662,2239,01.01.2025,,3,10104,Grolley-Ponthaux,Grolley-Ponthaux,3993,,,
16663,6513,01.01.2025,,3,10320,Laténa,Laténa,3994,,,
16664,5073,06.04.2025,,3,10005,Giornico,Giornico,3995,,,
16665,5079,06.04.2025,,3,10005,Quinto,Quinto,3996,,,
16666,5395,06.04.2025,,3,10003,Lema,Lema,3997,,,
16667,2406,01.01.2025,,3,10230,Oberbuchsiten,Oberbuchsiten,3998,,,
16668,2404,01.01.2025,,3,10230,Neuendorf,Neuendorf,3998,,,
